0,1,2,3,4
Maths,Physics,English,Economics,Biology
66,57,85,46,20
36,47,51,94,47
24,12,84,31,88
29,85,96,82,45
59,32,85,97,77
80,69,22,12,48
56,13,74,48,42
48,91,17,56,28
63,18,45,51,96
30,73,73,76,98
19,15,71,63,61
72,39,61,53,30
47,75,54,18,11
30,97,95,45,55
98,93,73,89,89
59,27,45,34,42
38,95,95,62,86
51,20,25,51,83
20,50,15,21,11
26,34,77,76,42
19,49,26,37,54
33,53,18,83,33
23,22,10,34,58
48,97,49,64,63
75,56,85,73,51
51,18,65,53,74
24,46,75,76,69
47,81,15,61,69
27,32,25,43,44
17,46,79,19,77
